Sigtaara,IPA,Romanized,Part of speech,English,Alternate Meaning 1,Alternate Meaning 2,Alternate Meaning 3,Alternate Meaning 4
YITɔN,/jitɔn/,yitoon,n.,book,,,,
SUN,/sun/,sun,v.,boost,,,,
KAGIZɔH,/kɑgizɔh/,kagizooh,n.,boot,,,,
KÄTMÁS,/kætmaɪ̯s/,ka'tmaii̯s,n.,border, boundary, fringe, perimeter, mane
WINUSÚS,/winusurs/,winusurs,n.,border, boundary, perimeter,,
VOKU,/voku/,voku,n.,border, boundary, fringe,,
YOWA,/jowɑ/,yowa,v.,bore,,,,
DÄ,/dæ/,da',adj.,boring,,,,
BODIS,/bodis/,bodis,v.,borrow,,,,
YOVENIK,/jovənik/,yovenik,n.,boss,,,,
LANRÁHÂK,/lɑnraɪ̯hɑhk/,lanraii̯haak,det.,both,,,,
NÉ,/neɪ/,neii,conj.,both, alike, equally,,
MEZA,/məzɑ/,meza,v.,bother,,,,
SAL,/sɑl/,sal,n.,bottle,,,,
YEHÍNÚN,/jɛhirnurn/,yehirnurn,n.,bottle, jar,,,
MÄG,/mæg/,ma'g,n.,bottom (lowest part),,,,
KEKJE,/kəkdʒɛ/,kekje,n.,boulder, slab,,,
LÚFÄ,/lurfæ/,lurfa',n.,boulder,,,,
DALEZ,/dɑləz/,dalez,v.,bounce,,,,
KÄGRO,/kægro/,ka'gro,adj.,bound, tied, linked,,
QILANÍ,/kwilɑnir/,qilanir,n.,bow, bowing, submission,,
QILAN,/kwilɑn/,qilan,v.,bow, submit,,,
MɔS,/mɔs/,moos,v.,bow,,,,
REHDENɔK,/rɛhdənɔk/,rehdenook,n.,bow (decorative material),,,,
FÍN,/firn/,firn,v.,bow (greet),,,,
LEZ,/ləz/,lez,n.,bow (weapon),,,,
FOZɔN,/fozɔn/,fozoon,n.,bowl, basin,,,
KERO,/kəro/,kero,n.,bowl, cup, pot, basin,
JAXUKYK,/dʒɑksukjk/,jaxukyk,n.,box, crate,,,
FɔDÚHÂZ,/fɔdurhɑhz/,foodurhaaz,n.,boy, son,,,
SÍVILYK,/sirviljk/,sirvilyk,n.,boy,,,,
MES,/məs/,mes,n.,boyfriend, girlfriend,,,
SUZEN,/suzɛn/,suzen,n.,boyfriend,,,,
ZELɔZKO,/zəlɔzko/,zeloozko,n.,bra,,,,
VÚLUL,/vurlul/,vurlul,n.,bracelet,,,,
TILWÚZÂZ,/tilwurzɑhz/,tilwurzaaz,n.,bracket,,,,
JÂSÂS,/dʒɑhsɑhs/,jaasaas,v.,brag,,,,
KEWÄLIL,/kəwælil/,kewa'lil,n.,brain,,,,
KEDA,/kɛdɑ/,keda,n.,branch (tree part),,,,
YOGɔSME,/jogɔsmə/,yogoosme,n.,brass,,,,
KÄKRIL,/kækril/,ka'kril,adj.,brave,,,,
KRILZIL,/krilzil/,krilzil,adv.,bravely,,,,
KRILIL,/krilil/,krilil,n.,bravery, braveness,,,
AKRINÍ,/ɑkrinir/,akrinir,n.,bravery,,,,
BÄ,/bæ/,ba',n.,bread,,,,
SISTE,/sistə/,siste,v.,break, snap, split, crack, separate
KREN,/krɛn/,kren,v.,break, shatter,,,
FEK,/fək/,fek,v.,break, burst, smash, snap, split
KEMOZ,/kɛmoz/,kemoz,n.,breakfast,,,,
KRENÍ,/krɛnir/,krenir,n.,breaking, shattering,,,
TɔL,/tɔl/,tool,n.,breast,,,,
MAN,/mɑn/,man,v.,breathe,,,,
WÚZ,/wurz/,wurz,v.,breed,,,,
FAKU,/fɑku/,faku,n.,breed,,,,
WOLO,/wolo/,wolo,n.,breeze,,,,
MULWUS,/mulwus/,mulwus,v.,bribe,,,,
SɔH,/sɔh/,sooh,n.,brick,,,,
BIN,/bin/,bin,n.,bridge,,,,
BUDAKÚK,/budɑkurk/,budakurk,adj.,brief,,,,
MÄLTIDÍ,/mæltidir/,ma'ltidir,n.,briefness, brevity, shortness,,
MUPEKYN,/mupəkjn/,mupekyn,adj.,bright,,,,
DRUN,/drun/,drun,v.,bring, cause, usher,,
MɔZNÄLɔH,/mɔznælɔh/,moozna'looh,v.,bring, fetch,,,
DRUNÍ,/drunir/,drunir,n.,bringing, cause, causation,,
MÂWÂ,/mɑhwɑh/,maawaa,adj.,broken,,,,
KÄKREN,/kækrɛn/,ka'kren,adj.,broken, shattered,,,
KRENZIL,/krɛnzil/,krenzil,adv.,brokenly,,,,
GORÂN,/gorɑhn/,goraan,n.,brood,,,,
ROFEGIT,/rofəgit/,rofegit,n.,broth,,,,
ZÄRÚTÚS,/zærurturs/,za'rurturs,n.,brothel,,,,
VEWU,/vəwu/,vewu,n.,brother,,,,
HORINOS,/horinos/,horinos,adj.,brown,,,,
DUHPENɔS,/duhpɛnɔs/,duhpenoos,n.,bruise,,,,
SÄKAK,/sækɑk/,sa'kak,n.,brush, beard, brush (for hair), broom, mane
MUKOKDÄZ,/mukokdæz/,mukokda'z,n.,brush, brush (for hair), broom,,
KÄHEVNO,/kæhɛvno/,ka'hevno,adj.,brutal, harsh,,,
HEVNOÍ,/hɛvnoir/,hevnoir,n.,brutality,,,,
HEVNOZIL,/hɛvnozil/,hevnozil,adv.,brutally, harshly,,,
KɔMAKOL,/kɔmɑkol/,koomakol,n.,bubble,,,,
DÂÄ,/dɑhæ/,daaa',n.,bucket,,,,
DÄL,/dæl/,da'l,n.,bud, spark,,,
NETESIS,/nətɛsis/,netesis,n.,bud,,,,
VÂTWÂKÂL,/vɑhtwɑhkɑhl/,vaatwaakaal,n.,budget,,,,
KÂIZ,/kɑhiz/,kaaiz,n.,buffalo,,,,
SIKÍ,/sikir/,sikir,n.,bug, insect,,,
JE,/dʒə/,je,v.,build, construct, erect, assemble,
YÚME,/jurmə/,yurme,v.,build, construct, erect, assemble, congregate
NEVA,/nɛvɑ/,neva,v.,build, construct, erect,,
JET,/dʒɛt/,jet,n.,building,,,,
ZɔKGEGÂS,/zɔkgəgɑhs/,zookgegaas,n.,bulb (plant root),,,,
DIG,/dig/,dig,n.,bullet,,,,
NIMOL,/nimol/,nimol,n.,bully,,,,
NIH,/nih/,nih,v.,bump,,,,
WÍZLɔSɔN,/wirzlɔsɔn/,wirzloosoon,n.,bump,,,,
ZUHONYG,/zuhonjg/,zuhonyg,n.,bunch, array,,,
BÄVA,/bævɑ/,ba'va,n.,bunch,,,,
YÄDÚ,/jædur/,ya'dur,n.,bunker,,,,
WɔTEK,/wɔtək/,wootek,n.,bureaucracy,,,,
VɔGɔHÂZ,/vɔgɔhɑhz/,voogoohaaz,n.,bureaucrat,,,,
HÂGHI,/hɑhghi/,haaghi,n.,burger,,,,
DÉTOÍ,/deɪtoir/,deiitoir,n.,burial,,,,
ÄGÍ,/ægir/,a'gir,n.,burn, incineration,,,
ÄG,/æg/,a'g,v.,burn,,,,
VEH,/vəh/,veh,v.,burst, explode, blow up, erupt, shoot
DIBUZYT,/dibuzjt/,dibuzyt,v.,burst, erupt,,,
VADE,/vɑdə/,vade,v.,burst,,,,
DÉTO,/deɪto/,deiito,v.,bury,,,,
ZOHJE,/zohdʒɛ/,zohje,n.,business,,,,
BEN,/bɛn/,ben,v.,bust,,,,
TÂNLÂ,/tɑhnlɑh/,taanlaa,adj.,busy,,,,
NUZ,/nuz/,nuz,conj.,but, on the contrary,,,
LÂ,/lɑh/,laa,conj.,but,,,,
BEMIG,/bɛmig/,bemig,n.,butt,,,,
FEBATIS,/fəbɑtis/,febatis,n.,butter,,,,
DÂN,/dɑhn/,daan,n.,buttocks,,,,
KEZLIZOG,/kɛzlizog/,kezlizog,n.,button (fastener for clothing),,,,
TÂKɔS,/tɑhkɔs/,taakoos,n.,button (pushbutton),,,,
BUH,/buh/,buh,adj.,buxom,,,,
GÄ,/gæ/,ga',v.,buy, purchase, shop,,
NAL,/nɑl/,nal,prep.,by, according to, with, through the authority or action of,
ZÂDÂSɔN,/zɑhdɑhsɔn/,zaadaasoon,prep.,by (agent performing an action), by (author or creator),,,
YENGOT,/jɛngot/,yengot,prep.,by (using the means of), by (using a route),,,
GEK,/gək/,gek,n.,cabbage,,,,
DɔME,/dɔmɛ/,doome,n.,cabin,,,,
VÚYIK,/vurjik/,vuryik,n.,cabinet, drawer,,,
DOPITɔG,/dopitɔg/,dopitoog,n.,cafe,,,,
MEMÚZ,/mɛmurz/,memurz,n.,cage, crate,,,
VÍZ,/virz/,virz,n.,cake,,,,
TI,/ti/,ti,v.,calculate,,,,
SɔHÚS,/sɔhurs/,soohurs,n.,calendar,,,,
RÄSÂZ,/ræsɑhz/,ra'saaz,n.,calf,,,,
KɔG,/kɔg/,koog,v.,call (cry out),,,,
WIG,/wig/,wig,v.,call (refer to by name), name,,,
DEWAZÂH,/dəwɑzɑhh/,dewazaah,v.,call (refer to by name),,,,
MEZ,/mɛz/,mez,v.,call (request the attendance of),,,,
REKLI,/rɛkli/,rekli,adj.,calm, sober,,,
VÍTVEKɔS,/virtvɛkɔs/,virtvekoos,n.,camel,,,,
PIHONME,/pihonmɛ/,pihonme,n.,camera,,,,
KEN,/kɛn/,ken,n.,camp,,,,
VES,/vəs/,ves,n.,campaign,,,,
BUN,/bun/,bun,v.,can,,,,
MEG,/mɛg/,meg,n.,canal, trench,,,
PATMEZOG,/pɑtməzog/,patmezog,n.,canal,,,,
BIKÄT,/bikæt/,bika't,n.,candidate,,,,
SUMUGÂT,/sumugɑht/,sumugaat,n.,candy,,,,
JIBOKÂN,/dʒibokɑhn/,jibokaan,n.,cane,,,,
KITYT,/kitjt/,kityt,n.,cannon,,,,
NIS,/nis/,nis,v.,cannot, can’t,,,
MɔMI,/mɔmi/,moomi,n.,canoe,,,,
LAZWAKÚK,/lɑzwɑkurk/,lazwakurk,n.,canopy,,,,
LINYÂSIN,/linjɑhsin/,linyaasin,n.,canvas,,,,
KADELÂN,/kɑdəlɑhn/,kadelaan,n.,canyon,,,,
TES,/təs/,tes,n.,capacity,,,,
JUZMÂGIK,/dʒuzmɑhgik/,juzmaagik,n.,capital (city),,,,
MÄFI,/mæfi/,ma'fi,n.,capsule,,,,
FUWÍK,/fuwirk/,fuwirk,v.,capture, seize, kidnap,,
MɔNLɔLÚL,/mɔnlɔlurl/,moonloolurl,v.,capture, seize,,,
GÂZSI,/gɑhzsi/,gaazsi,n.,car,,,,
KÄBE,/kæbə/,ka'be,n.,carcass,,,,
DAVO,/dɑvo/,davo,n.,card,,,,
HUKNÄNIS,/huknænis/,hukna'nis,n.,card, badge,,,
DEN,/dɛn/,den,n.,care,,,,
MEVO,/mɛvo/,mevo,v.,care,,,,
TÚKÚS,/turkurs/,turkurs,n.,career,,,,
ZÍGɔKME,/zirgɔkmə/,zirgookme,adj.,careful,,,,
DOBI,/dobi/,dobi,n.,carpet,,,,
LINKUT,/linkut/,linkut,n.,carriage,,,,
TASɔS,/tɑsɔs/,tasoos,n.,carrot,,,,
YETESÂG,/jɛtəsɑhg/,yetesaag,v.,carry,,,,
TON,/ton/,ton,v.,carry, lift,,,
BÄH,/bæh/,ba'h,v.,carry out, implement,,,
YILFÄS,/jilfæs/,yilfa's,n.,cart,,,,
HELÚSOG,/hɛlursog/,helursog,n.,cartoon,,,,
DWÍOK,/dwirok/,dwirok,v.,carve,,,,
DWÍOKÍ,/dwirokir/,dwirokir,n.,carving,,,,
FE,/fə/,fe,n.,case, situation (circumstances, context), incident,
JÂGENIG,/dʒɑhgənig/,jaagenig,n.,case,,,,
TɔSFÄTÂH,/tɔsfætɑhh/,toosfa'taah,n.,case, incident,,,
JEJO,/dʒɛdʒo/,jejo,n.,casino,,,,
GUK,/guk/,guk,v.,cast, fling,,,
GUSDIN,/gusdin/,gusdin,v.,cast,,,,
YAKTÍTON,/jɑktirton/,yaktirton,n.,castle,,,,
HOFI,/hofi/,hofi,adj.,casual,,,,
KAZ,/kɑz/,kaz,n.,cat,,,,
NINOHɔT,/ninohɔt/,ninohoot,n.,catalog,,,,
Lɔ,/lɔ/,loo,v.,catch, intercept, arrest,,
WONANYL,/wonɑnjl/,wonanyl,n.,caterpillar,,,,
GUG,/gug/,gug,n.,cathedral,,,,
YIKÄL,/jikæl/,yika'l,n.,cauldron, kettle,,,
MÂG,/mɑhg/,maag,v.,cause, induce, generate,,
BOPALɔT,/bopɑlɔt/,bopaloot,v.,cause, induce,,,
SENÂTON,/sənɑhton/,senaaton,n.,cause,,,,
ZIG,/zig/,zig,v.,cause, induce, provoke, evoke, arouse
JɔYUNɔK,/dʒɔjunɔk/,jooyunook,n.,cave,,,,
SOGÍSYS,/sogirsjs/,sogirsys,n.,cavity,,,,
WUWEKÚT,/wuwəkurt/,wuwekurt,n.,ceiling, maximum,,,
ZIHO,/ziho/,ziho,v.,celebrate,,,,
YITNOS,/jitnos/,yitnos,n.,celebrity,,,,
MIGÍK,/migirk/,migirk,n.,cell (room in a prison),,,,
VɔHÄNɔS,/vɔhænɔs/,vooha'noos,n.,cement,,,,
WITE,/witə/,wite,n.,census,,,,
HÄS,/hæs/,ha's,n.,center, hub (center of activity),,,
MEN,/mən/,men,n.,center, heart, core, nucleus, hub (center of activity)
MÚZMɔ,/murzmɔ/,murzmoo,adj.,central,,,,
JɔKÂK,/dʒɔkɑhk/,jookaak,n.,century,,,,
MULKÄTIG,/mulkætig/,mulka'tig,n.,cereal,,,,
SOK,/sok/,sok,n.,ceremony, ritual,,,
MÍVE,/mirvɛ/,mirve,n.,ceremony,,,,
SÄZIH,/sæzih/,sa'zih,adj.,certain, sure,,,
YÄN,/jæn/,ya'n,adv.,certainly,,,,
KIKZɔKɔT,/kikzɔkɔt/,kikzookoot,n.,certificate,,,,
SIZ,/siz/,siz,v.,certify,,,,
YIWIG,/jiwig/,yiwig,n.,chain,,,,
BEFESYZ,/bəfəsjz/,befesyz,n.,chair,,,,
SIZE,/sizə/,size,n.,chalk,,,,
GÚYUKÚT,/gurjukurt/,guryukurt,n.,challenge,,,,
KAL,/kɑl/,kal,n.,champion,,,,
BÂNA,/bɑhnɑ/,baana,n.,chance, odds, luck,,
TIGNÍGÂG,/tignirgɑhg/,tignirgaag,n.,chance, odds,,,
WUGIZ,/wugiz/,wugiz,n.,change,,,,
TA,/tɑ/,ta,v.,change,,,,
BEKÄN,/bɛkæn/,beka'n,n.,channel (of water), artery,,,
NEMEH,/nəmɛh/,nemeh,n.,chaos,,,,
ZIKOL,/zikol/,zikol,n.,chapel,,,,
MÄNMA,/mænmɑ/,ma'nma,n.,chapter,,,,
NÍLMÍKÂN,/nirlmirkɑhn/,nirlmirkaan,n.,character,,,,
YEPOH,/jəpoh/,yepoh,n.,characteristic,,,,
DÍTEN,/dirtən/,dirten,n.,charcoal,,,,
FONAR,/fonɑr/,fonar,v.,charge,,,,
FONARÍ,/fonɑrir/,fonarir,n.,charge,,,,
JOTɔL,/dʒotɔl/,jotool,n.,charity,,,,
TOYOZ,/tojoz/,toyoz,v.,charm,,,,
METMOGYN,/mɛtmogjn/,metmogyn,n.,chart, graph,,,
LILWUSIZ,/lilwusiz/,lilwusiz,n.,chart, graph, diagram,,
REZ,/rɛz/,rez,v.,chase,,,,
TOZHASÂS,/tozhɑsɑhs/,tozhasaas,n.,chasm,,,,
JÂTÚG,/dʒɑhturg/,jaaturg,v.,chat,,,,
TIKTÍHÂT,/tiktirhɑht/,tiktirhaat,adj.,cheap,,,,
MUKÍ,/mukir/,mukir,v.,check, confirm,,,
YÄLSɔN,/jælsɔn/,ya'lsoon,n.,cheek,,,,
SÍHPIN,/sirhpin/,sirhpin,v.,cheer,,,,
JENɔHKIK,/dʒɛnɔhkik/,jenoohkik,n.,cheese,,,,
YOHITNA,/johitnɑ/,yohitna,n.,chef, cook,,,
MÍVE,/mirvə/,mirve,n.,chemical,,,,
JENKI,/dʒənki/,jenki,n.,cherry,,,,
YEGZO,/jɛgzo/,yegzo,n.,chest,,,,
ZÍ,/zir/,zir,v.,chew,,,,
HOKMIL,/hokmil/,hokmil,n.,chick (girl),,,,
BOKIT,/bokit/,bokit,n.,chicken, fowl,,,
DIKINON,/dikinon/,dikinon,n.,chief,,,,
KÍ,/kir/,kir,n.,child,,,,
BɔHONYS,/bɔhonjs/,boohonys,n.,child (young human being), child (son or daughter of any age),,,
KÄKÍ,/kækir/,ka'kir,adj.,childish,,,,
DIHɔLIS,/dihɔlis/,dihoolis,n.,chime,,,,
PÍHDEN,/pirhdɛn/,pirhden,n.,chin,,,,
HEMISIN,/həmisin/,hemisin,n.,choice,,,,
NÄPÂNYZ,/næpɑhnjz/,na'paanyz,n.,choir,,,,
PÄWÂ,/pæwɑh/,pa'waa,v.,choke, gag,,,
VIS,/vis/,vis,v.,choke,,,,
RUH,/ruh/,ruh,v.,choose, select, elect,,
ZON,/zon/,zon,v.,choose, select,,,
YEVɔK,/jəvɔk/,yevook,v.,chop,,,,
GOMI,/gomi/,gomi,n.,chord,,,,
YAZÚ,/jɑzur/,yazur,n.,chore,,,,
GUKÂTLI,/gukɑhtli/,gukaatli,n.,chorus,,,,
BEHYÄ,/bɛhjæ/,behya',v.,chuckle,,,,
BÚZ,/burz/,burz,n.,church, chapel, shrine,,
WETZOK,/wɛtzok/,wetzok,n.,church, shrine,,,
NÄNIN,/nænin/,na'nin,n.,cigar,,,,
SÄSYN,/sæsjn/,sa'syn,n.,cigarette,,,,
SIT,/sit/,sit,n.,cigarette, cigar,,,
WIMIH,/wimih/,wimih,n.,circle,,,,
VOZ,/voz/,voz,v.,circulate,,,,
SOKÚZ,/sokurz/,sokurz,n.,circulation,,,,
LELɔTYS,/lɛlɔtjs/,lelootys,n.,circus,,,,
NUYÂ,/nujɑh/,nuyaa,n.,citadel,,,,
ZINɔN,/zinɔn/,zinoon,n.,city, metropolis,,,
SES,/sɛs/,ses,n.,city,,,,
MENɔK,/mənɔk/,menook,n.,civilian, citizen,,,
GEREN,/gɛrən/,geren,n.,civilization,,,,
GUKIHYH,/gukihjh/,gukihyh,adj.,civilized,,,,
BE,/bə/,be,v.,claim, allege, accuse, testify,
HÍKA,/hirkɑ/,hirka,v.,claim, allege,,,
JÄLɔ,/dʒælɔ/,ja'loo,v.,claim, allege, accuse,,
BROD,/brod/,brod,n.,clan,,,,
TÄN,/tæn/,ta'n,v.,clap, pat, cheer,,
FENÄGÂG,/fənægɑhg/,fena'gaag,v.,clap,,,,
WÂG,/wɑhg/,waag,v.,clarify,,,,
PASWEZIS,/pɑswəzis/,paswezis,n.,clash,,,,
GÍN,/girn/,girn,n.,class,,,,
PIG,/pig/,pig,adj.,classic,,,,
YɔLɔH,/jɔlɔh/,yoolooh,n.,clause,,,,
VÄLMÍT,/vælmirt/,va'lmirt,n.,claw,,,,
WEKYH,/wəkjh/,wekyh,n.,clay, brick,,,
YET,/jɛt/,yet,n.,clay,,,,
WEHIN,/wɛhin/,wehin,v.,clean,,,,
MÂSU,/mɑhsu/,maasu,adj.,clean,,,,
LÄGUK,/læguk/,la'guk,v.,clean, wash,,,
Fɔ,/fɔ/,foo,v.,clear,,,,
ZEVEG,/zəvəg/,zeveg,adj.,clear, transparent,,,
KÄYOL,/kæjol/,ka'yol,adj.,clear,,,,
TÄKYOS,/tækjos/,ta'kyos,adv.,clearly,,,,
MÄMUNÚS,/mæmunurs/,ma'munurs,n.,cleavage,,,,
KÄGÚZɔN,/kægurzɔn/,ka'gurzoon,n.,clerk,,,,
VIKYT,/vikjt/,vikyt,n.,click,,,,
KIWU,/kiwu/,kiwu,n.,cliff,,,,
NÍSYɔHIK,/nirsjɔhik/,nirsyoohik,n.,climate,,,,
JÄG,/dʒæg/,ja'g,v.,climb, escalate, grow,,
HEZ,/hɛz/,hez,v.,climb, escalate, increase,,
FÂG,/fɑhg/,faag,v.,cling,,,,
ZITI,/ziti/,ziti,n.,clinic,,,,
KIS,/kis/,kis,n.,clinic, hospital,,,
ZIMUZ,/zimuz/,zimuz,v.,clip, snip, trim,,
KELYEH,/kəljəh/,kelyeh,n.,cloak,,,,
KÂRIHɔS,/kɑhrihɔs/,kaarihoos,n.,clock,,,,
SEKÚTYK,/sɛkurtjk/,sekurtyk,adj.,close,,,,
NɔG,/nɔg/,noog,v.,close, shut,,,
FELIZɔK,/fɛlizɔk/,felizook,adj.,close, intimate,,,
TIHPÁKOL,/tihpaɪ̯kol/,tihpaii̯kol,adj.,close, accurate,,,
KÍZYT,/kirzjt/,kirzyt,n.,closure,,,,
DIYEK,/dijɛk/,diyek,n.,cloth,,,,
NOGE,/nogɛ/,noge,n.,clothes,,,,
ETIDÍ,/ətidir/,etidir,n.,clothing,,,,
GRÄM,/græm/,gra'm,n.,cloud,,,,
TÄTHU,/tæthu/,ta'thu,n.,clown,,,,
HÍOLɔH,/hirolɔh/,hirolooh,n.,clue,,,,
WINLITIL,/winlitil/,winlitil,n.,coal, charcoal,,,
SILOKYK,/silokjk/,silokyk,n.,coal,,,,
NÍMÂZ,/nirmɑhz/,nirmaaz,n.,coast,,,,
LEKMOK,/ləkmok/,lekmok,n.,coat, jacket,,,
MÍYET,/mirjɛt/,miryet,n.,coconut,,,,
WÂRU,/wɑhru/,waaru,n.,code,,,,
FÂME,/fɑhmɛ/,faame,n.,coffee,,,,
JÚKMÍG,/dʒurkmirg/,jurkmirg,n.,coffin,,,,
FÚMÂNIZ,/furmɑhniz/,furmaaniz,adj.,coherent,,,,
GITSE,/gitsə/,gitse,n.,coil,,,,
BITIZ,/bitiz/,bitiz,n.,coin,,,,
MUKELOL,/mukəlol/,mukelol,n.,coin, currency,,,
MÍSIH,/mirsih/,mirsih,n.,coincidence,,,,
KÄKRA,/kækrɑ/,ka'kra,adj.,cold,,,,
KRAÍ,/krɑir/,krair,n.,cold, coldness,,,
KRAZIL,/krɑzil/,krazil,adv.,coldly,,,,
FUFÍNIH,/fufirnih/,fufirnih,v.,collaborate,,,,
WUNME,/wunmɛ/,wunme,v.,collapse,,,,
RÄL,/ræl/,ra'l,n.,collar,,,,
FÂSBɔN,/fɑhsbɔn/,faasboon,v.,collect, deposit, gather, accumulate,
YIL,/jil/,yil,v.,collect, congregate,,,
BEZÍ,/bəzir/,bezir,v.,collect, congregate, gather, accumulate,
MɔNHUK,/mɔnhuk/,moonhuk,n.,colony,,,,
MÍKPIHOK,/mirkpihok/,mirkpihok,n.,colony, flock,,,
BɔSIK,/bɔsik/,boosik,n.,color, hue,,,
PÂTIG,/pɑhtig/,paatig,n.,color, hue, paint,,
GÄJA,/gædʒɑ/,ga'ja,n.,column,,,,
PENFOKɔZ,/pɛnfokɔz/,penfokooz,n.,comb,,,,
WÂYIGIH,/wɑhjigih/,waayigih,n.,combat,,,,
LOTLÚ,/lotlur/,lotlur,v.,combine,,,,
BENBA,/bɛnbɑ/,benba,v.,come,,,,
MÉZ,/meɪz/,meiiz,v.,come, become,,,
HÚFE,/hurfɛ/,hurfe,v.,come, go, enter,,
TO,/to/,to,v.,come, arrive, reach, enter,
FEHUSɔT,/fɛhusɔt/,fehusoot,n.,comedy, humor,,,
TÍGÂSNAG,/tirgɑhsnɑg/,tirgaasnag,n.,comfort,,,,
ZOS,/zos/,zos,adj.,comfortable,,,,
VÚTIN,/vurtin/,vurtin,adj.,comic,,,,
NÂFÄG,/nɑhfæg/,naafa'g,v.,command,,,,
KOFÍ,/kofir/,kofir,n.,comment,,,,
YÚSYISOK,/jursjisok/,yursyisok,n.,committee,,,,
MɔL,/mɔl/,mool,adj.,common,,,,
BÄT,/bæt/,ba't,n.,community,,,,
KAGÉGYH,/kɑgeɪ̯gjh/,kagaegyh,v.,commute,,,,
TÍKIKOH,/tirkikoh/,tirkikoh,n.,company,,,,
GÚI,/guri/,guri,n.,company, business,,,
MÍA,/mirɑ/,mira,v.,compare,,,,
JEMI,/dʒɛmi/,jemi,v.,compare, contrast,,,
LILÂS,/lilɑhs/,lilaas,n.,compartment,,,,
BEYO,/bəjo/,beyo,n.,compass,,,,
FUZ,/fuz/,fuz,n.,compassion, empathy, sympathy,,
HINLɔL,/hinlɔl/,hinlool,adj.,compatible,,,,
SESYI,/sɛsji/,sesyi,v.,compel,,,,
DEGTÚ,/dɛgtur/,degtur,v.,compete,,,,
NIVENIK,/nivɛnik/,nivenik,adj.,competent,,,,
KÄNLI,/kænli/,ka'nli,v.,compile,,,,
TÚT,/turt/,turt,v.,complain,,,,
SÚT,/surt/,surt,v.,complement,,,,
KELI,/kɛli/,keli,v.,complete, achieve, accomplish,,
DɔT,/dɔt/,doot,v.,complete,,,,
TɔNOZ,/tɔnoz/,toonoz,n.,complex,,,,
ZITUT,/zitut/,zitut,v.,complicate,,,,
GETMOTYZ,/gɛtmotjz/,getmotyz,adj.,complicated, complex, intricate,,
FILE,/filə/,file,adj.,complicated, complex,,,
KISUTɔL,/kisutɔl/,kisutool,n.,compliment,,,,
SUDÂ,/sudɑh/,sudaa,v.,comply, conform,,,
JÂKE,/dʒɑhkɛ/,jaake,v.,compose,,,,
YÂZ,/jɑhz/,yaaz,n.,composite,,,,
KEKÍKIK,/kɛkirkik/,kekirkik,n.,compost, fertilizer,,,
YÚK,/jurk/,yurk,n.,compound,,,,
LAKDIS,/lɑkdis/,lakdis,v.,comprehend, fathom,,,
NÚTIT,/nurtit/,nurtit,v.,compromise,,,,
BEWÍG,/bɛwirg/,bewirg,v.,concentrate,,,,
GILFET,/gilfɛt/,gilfet,n.,concrete,,,,
KEVÂNIZ,/kəvɑhniz/,kevaaniz,n.,condition (requirement, stipulation),,,
VÚHÂK,/vurhɑhk/,vurhaak,n.,cone,,,,
PÍH,/pirh/,pirh,n.,conference,,,,
DAK,/dɑk/,dak,v.,confess,,,,
PÄK,/pæk/,pa'k,n.,confidence,,,,
KɔLYU,/kɔlju/,koolyu,adj.,confident,,,,
MÂKIN,/mɑhkin/,maakin,adj.,confidential,,,,
MEWI,/mɛwi/,mewi,v.,confine,,,,
NEHEN,/nəhɛn/,nehen,v.,confirm, validate, verify,,
KUME,/kumə/,kume,v.,confront,,,,
GABI,/gɑbi/,gabi,v.,confuse,,,,
LÄK,/læk/,la'k,v.,connect, bond, attribute,,
SÄH,/sæh/,sa'h,v.,connect, combine, bond,,
NUHLOL,/nuhlol/,nuhlol,v.,connect, bond,,,
KRON,/kron/,kron,v.,conquer,,,,
KÄKJU,/kækdʒu/,ka'kju,n.,conquest,,,,
YANKA,/jɑnkɑ/,yanka,adj.,conscious,,,,
GɔN,/gɔn/,goon,v.,consider, estimate,,,
TALBE,/tɑlbə/,talbe,adj.,consistent,,,,
TUTPEHɔN,/tutpəhɔn/,tutpehoon,adj.,consistent, compatible,,,
WEHDÚ,/wɛhdur/,wehdur,v.,consolidate,,,,
FɔHYE,/fɔhjə/,foohye,n.,constellation,,,,
VÄKI,/væki/,va'ki,n.,constitution,,,,
MUN,/mun/,mun,v.,consult,,,,
JIKULOT,/dʒikulot/,jikulot,n.,contact,,,,
ZÂG,/zɑhg/,zaag,v.,contain,,,,
FOS,/fos/,fos,v.,contain, incorporate,,,
MITKÍK,/mitkirk/,mitkirk,n.,container,,,,
MAKFÍN,/mɑkfirn/,makfirn,v.,contaminate,,,,
KALKÚNYK,/kɑlkurnjk/,kalkurnyk,n.,content,,,,
TOZYS,/tozjs/,tozys,n.,continent,,,,
KAS,/kɑs/,kas,v.,continue, keep (continue), last,,
RÄMETIK,/ræmətik/,ra'metik,v.,continue, keep (continue), remain,,
HÚZKUS,/hurzkus/,hurzkus,n.,contract,,,,
MÁH,/maɪ̯h/,maii̯h,v.,contradict,,,,
YÂSVET,/jɑhsvət/,yaasvet,v.,contrast,,,,
NOMIH,/nomih/,nomih,v.,contribute,,,,
NÄZ,/næz/,na'z,v.,control,,,,
WENKÄ,/wɛnkæ/,wenka',n.,control,,,,
MELO,/məlo/,melo,n.,controversy,,,,
VOMI,/vomi/,vomi,adj.,convenient,,,,
GÍZ,/girz/,girz,v.,convert, adapt, translate,,
